Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
0,1,387,311,406,325,40.724158887371054,151.74320413119,40.140385569027586,175.28548142958104,0.4351,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.565,0.072,4.3857,162.6670,3.0936,-2.6632,4.0820
0,2,418,296,432,305,29.91364599153488,168.43990026119107,30.1672956103844,185.06485349736184,0.6719,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0224,0.047,2.8431,176.3614,3.8360,-2.2070,4.4256
1,1,387,311,406,325,40.724158887371054,151.74320413119,40.140385569027586,175.28548142958104,0.4334,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.565,0.072,4.3857,162.6670,3.0936,-2.6632,4.0820
1,2,418,296,432,305,29.91364599153488,168.43990026119107,30.1672956103844,185.06485349736184,0.6728,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0224,0.047,2.8431,176.3614,3.8360,-2.2070,4.4256
2,2,418,296,432,305,29.91364599153488,168.43990026119107,30.1672956103844,185.06485349736184,0.6755,1,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0224,0.047,2.8431,176.3614,3.8360,-2.2070,4.4256
3,1,387,311,406,325,40.724158887371054,151.74320413119,40.140385569027586,175.28548142958104,0.4299,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.565,0.072,4.3857,162.6670,3.0936,-2.6632,4.0820
3,2,418,296,432,305,29.91364599153488,168.43990026119107,30.1672956103844,185.06485349736184,0.6713,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0224,0.047,2.8431,176.3614,3.8360,-2.2070,4.4256
4,1,387,311,406,325,40.724158887371054,151.74320413119,40.140385569027586,175.28548142958104,0.4329,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.565,0.072,4.3857,162.6670,3.0936,-2.6632,4.0820
4,2,418,296,432,305,29.91364599153488,168.43990026119107,30.1672956103844,185.06485349736184,0.6749,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0224,0.047,2.8431,176.3614,3.8360,-2.2070,4.4256
5,1,387,311,406,325,40.724158887371054,151.74320413119,40.140385569027586,175.28548142958104,0.4295,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.565,0.072,4.3857,162.6670,3.0936,-2.6632,4.0820
