Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
0,1,1.8797,-2.2557,371,325,49.920616036363995,107.16809226630845,48.77819770716159,150.23315213360866,0.5134,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.8703,0.1673,9.8703,125.0981,1.8797,-2.2557
1,1,1.7881,-2.2054,372,322,47.58579434242449,109.71326264403953,47.72631099390627,148.66068747318505,0.7801,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.5486,0.1507,9.5486,126.2515,1.7881,-2.2054
1,2,1.7874,-2.2232,363,322,50.47736872882888,103.71113729971339,50.399973423325065,142.76203977248295,0.7257,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.9967,0.1584,9.9967,120.143,1.7874,-2.2232
2,2,1.7023,-2.1793,363,319,51.0724564072077,100.26464980241042,49.6199234816604,140.46351839534705,0.4857,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.8093,0.167,9.8093,117.0077,1.7023,-2.1793
3,2,1.5894,-2.1471,347,311,53.642802580004535,89.40357934669059,52.85331330197822,124.2014492669067,0.5968,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.8004,0.1629,9.8004,103.9681,1.5894,-2.1471
4,1,1.6761,-2.1622,349,310,51.63251461513847,91.8313671900838,51.84277341263094,124.63145670335399,0.717,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.4296,0.1515,9.4296,105.7464,1.6761,-2.1622
4,2,1.4115,-2.0800,340,308,54.84582236785257,86.83893136145792,54.68878656036681,117.64352935882194,0.693,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.6593,0.1506,9.6593,99.9209,1.4115,-2.0800
5,1,1.5065,-2.0812,341,308,52.744710546422915,89.20201791439474,54.293308599397115,118.22436297142819,0.4599,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.2394,0.1399,9.2394,101.6828,1.5065,-2.0812
6,2,1.2370,-2.0212,327,307,61.50436138175502,79.64923100695951,59.93141717813756,109.77249200050075,0.52,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.4399,0.159,9.4399,92.3156,1.2370,-2.0212
7,1,1.3603,-2.0134,329,305,58.06931789628218,81.30190649671138,58.49573328079582,109.07795377618706,0.7188,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.0101,0.1459,9.0101,93.1637,1.3603,-2.0134
7,2,1.1281,-1.9938,320,305,62.447188423282206,77.82673062643708,62.7004277886672,104.65658125507444,0.7562,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.2460,0.147,9.2460,89.2693,1.1281,-1.9938
