Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
0,1,340,293,366,324,50.78239232236404,112.29425630903836,50.578636255393384,152.75143207184672,0.6933,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
0,2,347,294,374,324,48.447386851865204,117.5925167687128,48.33633670221332,157.95252451290546,0.7807,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
1,1,338,291,362,321,50.931526924919766,109.48059188732951,51.03768252142289,147.898613921835,0.7169,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
1,2,345,292,371,322,48.53229458389089,114.76933388322858,48.67449952082966,154.46682491719702,0.7802,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
2,1,335,289,357,318,51.50895644050257,106.04244433244644,51.84277341263094,142.43595051811886,0.677,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
2,2,342,290,367,318,49.007804542372334,111.28791488746656,48.81407483429036,148.8220413782851,0.7591,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
3,1,323,283,344,310,54.958070598460985,94.04786015641186,54.20259697202166,128.22246293064254,0.5272,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
4,1,322,282,340,308,55.10929849249518,92.65527507918802,55.15905599584681,124.27791436936813,0.7144,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
4,2,329,283,348,309,52.07353767496138,97.6165969494942,52.512144103052755,129.80754985747168,0.6747,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
5,1,319,281,336,307,56.309932474020215,90.13878188659973,56.44104386876742,121.2023102090055,0.7149,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
5,2,326,282,344,307,53.13010235415598,95.0,53.403371090560825,125.80143083447024,0.7942,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
6,1,309,281,325,306,61.92751306414704,85.0,60.751173663453024,114.61239025515522,0.474,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
7,1,307,280,319,304,62.81888891452278,83.18653737234169,62.96913974015701,110.01818031580054,0.7715,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
7,2,314,281,327,305,59.03624346792648,87.46427842267951,59.635728999839664,114.73883387938018,0.6781,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
8,1,307,279,318,303,62.500861268952846,82.29823813423954,63.1991650530454,108.67382389517726,0.6533,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
8,2,314,280,327,304,58.69587650440903,86.6083136886985,59.381394591090604,113.87712676389407,0.6391,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
9,1,307,279,319,303,62.500861268952846,82.29823813423954,62.730528011541935,109.12836478203089,0.7236,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
9,2,314,280,328,303,58.69587650440903,86.6083136886985,58.69004961746551,113.53413583587978,0.8077,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
10,2,311,283,325,308,61.38954033403479,87.70974860299168,61.232350661156204,116.36150566231085,0.769,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
10,1,319,284,334,309,57.33908727832619,92.64987857520376,57.74528947313286,121.79490958164057,0.6695,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
11,2,313,285,328,311,60.88385373392108,90.4267659490264,60.66816042175248,120.44085685513866,0.7259,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
11,1,320,285,337,312,57.154941697222235,94.03190947758107,57.319445256636605,125.93649193144932,0.7769,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
12,2,313,283,328,309,60.25511870305778,88.68483523128404,60.19524852681989,118.70130580579136,0.8107,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
12,1,320,284,337,310,56.82148834060726,93.1933474020544,56.82148834060726,124.25779653607253,0.8174,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
13,1,310,281,324,306,61.33604288971847,85.47514258543241,61.189206257026946,114.12712210513327,0.7366,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
13,2,318,282,333,307,57.188633201931886,90.4267659490264,57.63906244063011,119.57006314291216,0.6865,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
14,1,312,281,327,306,60.17291534552527,86.45229898620394,59.88626684901757,115.6027681329474,0.7403,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
14,2,319,281,335,307,56.309932474020215,90.13878188659973,56.83677536786273,120.65239326262865,0.6558,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
15,1,310,279,324,304,60.67952412241925,83.72574275573791,60.69779251786132,112.37882362794157,0.7804,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
15,2,317,280,333,305,57.03059609653788,88.20430828479978,57.118760334725195,117.88553770501282,0.7689,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
16,2,307,278,319,302,62.17590361574674,81.41252974819048,62.487997376148556,108.24047302187847,0.6778,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
16,1,313,278,328,303,58.57043438516149,84.38009243891595,58.69004961746551,113.53413583587978,0.8148,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
17,2,307,278,321,304,62.17590361574674,81.41252974819048,62.049030972109826,110.9414259868693,0.7638,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
17,1,314,279,330,304,58.348727113287374,85.75546629807339,58.09984308226628,115.43396380615195,0.8059,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
18,2,311,280,325,306,60.42216131873867,85.0881895447306,60.751173663453024,114.61239025515522,0.7112,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
18,1,318,281,334,307,56.84207611532777,89.58794561770016,57.23611150941634,120.10828447696687,0.6773,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
19,2,315,281,331,308,58.47782275324133,87.98295289429652,58.70696100407981,119.36498649101419,0.7026,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
19,1,322,282,339,309,55.10929849249518,92.65527507918802,55.799515869731465,124.53513560437472,0.599,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
20,1,315,283,331,311,59.145795494103,89.69392398596462,59.43916073262847,121.93850909372314,0.661,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
20,2,321,283,340,311,55.96787218266168,92.91393867445294,55.93381678575579,126.75172582651489,0.7505,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
21,2,320,285,343,315,57.154941697222235,94.03190947758107,55.82745310382539,131.7459676802292,0.4104,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
22,2,325,284,347,314,54.32359177813802,96.02083107326243,54.16234704572171,133.2216198670471,0.7256,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
22,1,332,285,356,315,51.428747748829856,101.04454463255303,51.40435272638415,139.46325680981354,0.819,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
23,2,331,284,356,313,51.519801751656985,99.6393496566492,50.88598783302827,137.90576492663388,0.6291,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
23,1,338,284,365,314,48.50353164478446,104.1393297462587,48.366460663429805,144.49913494550754,0.7809,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
