Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
0,1,341,294,371,325,49.920616036363995,107.16809226630845,48.77819770716159,150.23315213360866,0.5134,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.6058,0.1673,10.2766,125.0981,2.049,-2.3783
1,1,346,293,372,322,47.58579434242449,109.71326264403953,47.72631099390627,148.66068747318505,0.7801,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.7635,0.1507,9.2528,126.2515,2.1336,-2.342
1,2,338,292,363,322,50.47736872882888,103.71113729971339,50.399973423325065,142.76203977248295,0.7257,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.6196,0.1584,9.7285,120.143,1.9204,-2.3241
2,2,335,290,363,319,51.0724564072077,100.26464980241042,49.6199234816604,140.46351839534705,0.4857,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.5704,0.167,10.2569,117.0077,1.8785,-2.2567
3,2,325,284,347,311,53.642802580004535,89.40357934669059,52.85331330197822,124.2014492669067,0.5968,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.1166,0.1629,10.0047,103.9681,1.5634,-2.0887
4,1,329,284,349,310,51.63251461513847,91.8313671900838,51.84277341263094,124.63145670335399,0.717,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.851,0.1515,9.3014,105.7464,1.6427,-2.084
4,2,322,283,340,308,54.84582236785257,86.83893136145792,54.68878656036681,117.64352935882194,0.693,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.753,0.1506,9.247,99.9209,1.447,-2.0478
5,1,326,283,341,308,52.744710546422915,89.20201791439474,54.293308599397115,118.22436297142819,0.4599,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,15.5598,0.1399,8.5838,101.6828,1.5132,-2.0545
6,2,310,282,327,307,61.50436138175502,79.64923100695951,59.93141717813756,109.77249200050075,0.52,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.6851,0.159,9.7649,92.3156,1.1375,-2.0181
7,1,315,281,329,305,58.06931789628218,81.30190649671138,58.49573328079582,109.07795377618706,0.7188,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.225,0.1459,8.9535,93.1637,1.228,-1.9894
7,2,308,281,320,305,62.447188423282206,77.82673062643708,62.7004277886672,104.65658125507444,0.7562,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.3504,0.147,9.0232,89.2693,1.0312,-1.9887
8,1,314,280,328,305,58.29857033049428,79.92496481075234,58.94572888364722,108.55873986004075,0.6413,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.8943,0.1519,9.3254,92.0669,1.2013,-1.9735
8,2,307,280,319,304,62.76485330069748,76.47875521999558,62.93889386252676,103.31021246711285,0.7395,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.5965,0.1492,9.1599,87.8923,1.0059,-1.9628
9,1,315,280,328,304,57.69266554511789,80.45495634204272,58.67130713219584,107.70329614269008,0.659,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.1046,0.1448,8.8866,92.1061,1.2162,-1.9655
9,2,307,280,320,303,62.76485330069748,76.47875521999558,62.18958455615367,102.88342918079665,0.7047,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.3713,0.1472,9.0348,87.7375,1.0188,-1.9518
10,2,319,284,335,310,56.86439045128113,85.98255637046388,57.264773727892404,116.50321883965266,0.7068,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.7623,0.1507,9.2521,98.9427,1.3488,-2.0846
10,1,312,284,327,309,60.94539590092286,82.365041127896,60.44631636769256,111.50784725749125,0.7218,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.7166,0.1503,9.2267,94.7461,1.165,-2.0726
11,2,314,286,333,312,60.42216131873867,85.0881895447306,58.616808943640976,117.13667231059623,0.4627,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.6241,0.1585,9.731,98.5729,1.26,-2.1286
