Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
0,1,581,422,626,452,34.200484130268535,373.60540681312415,34.135940077912274,427.68680129272167,0.7827,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4673,0.0675,4.0997,398.8211,8.2774,-5.6254,10.0081
0,2,499,238,532,242,6.5340384961802584,228.4841351166422,6.581944655178011,261.72504656604804,0.7805,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4742,0.0678,4.1189,243.9776,6.0826,-0.6967,6.1224
0,3,363,120,377,106,314.68691142497937,129.40247292845683,314.72845805431547,149.20120642943877,0.8253,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5449,0.0711,4.3157,138.5983,2.4458,2.4727,3.4780
0,4,365,90,379,72,307.3180953837485,153.40469353966978,307.39016284244804,176.207264322445,0.8212,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.504,0.0692,4.2017,164.0172,2.4952,3.2733,4.1159
0,5,127,61,106,39,226.161241908314,209.34660255184463,226.18293058519626,239.7602969634464,0.8215,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4722,0.0677,4.1135,223.5236,-3.8851,4.0458,5.6091
1,1,581,422,626,452,34.200484130268535,373.60540681312415,34.135940077912274,427.68680129272167,0.7792,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4673,0.0675,4.0997,398.8211,8.2774,-5.6254,10.0081
1,2,522,241,532,242,6.616737897910832,251.67637950352037,6.581944655178011,261.72504656604804,0.5851,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.4255,0.0196,1.2021,256.6024,6.3963,-0.7420,6.4392
1,3,363,120,377,106,314.68691142497937,129.40247292845683,314.72845805431547,149.20120642943877,0.8348,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5449,0.0711,4.3157,138.5983,2.4458,2.4727,3.4780
1,4,365,90,379,72,307.3180953837485,153.40469353966978,307.39016284244804,176.207264322445,0.8185,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.504,0.0692,4.2017,164.0172,2.4952,3.2733,4.1159
1,5,127,61,106,39,226.161241908314,209.34660255184463,226.18293058519626,239.7602969634464,0.8149,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4722,0.0677,4.1135,223.5236,-3.8851,4.0458,5.6091
2,1,581,422,626,452,34.200484130268535,373.60540681312415,34.135940077912274,427.68680129272167,0.7708,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4673,0.0675,4.0997,398.8211,8.2774,-5.6254,10.0081
2,2,499,238,532,243,6.5340384961802584,228.4841351166422,6.799321441958474,261.8415551435639,0.6526,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.479,0.068,4.1323,244.0282,6.0839,-0.6968,6.1237
2,3,363,120,377,106,314.68691142497937,129.40247292845683,314.72845805431547,149.20120642943877,0.829,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5449,0.0711,4.3157,138.5983,2.4458,2.4727,3.4780
2,4,365,90,379,73,307.3180953837485,153.40469353966978,307.58850714082115,175.41379649275024,0.716,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4551,0.0669,4.0659,163.6727,2.4900,3.2664,4.1072
2,5,127,61,106,39,226.161241908314,209.34660255184463,226.18293058519626,239.7602969634464,0.831,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4722,0.0677,4.1135,223.5236,-3.8851,4.0458,5.6091
3,1,581,422,626,452,34.200484130268535,373.60540681312415,34.135940077912274,427.68680129272167,0.7728,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4673,0.0675,4.0997,398.8211,8.2774,-5.6254,10.0081
