Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
0,1,265,387,263,408,92.29061004263853,175.13994404475525,92.62908188563867,196.2065238466856,0.5175,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.3088,0.0567,3.4427,185.0757,-0.2001,-4.64
0,2,258,388,256,404,94.54804240912542,176.555940143627,94.76364169072617,192.66551326067673,0.7978,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.8521,0.0436,2.6331,184.2593,-0.3757,-4.6085
0,3,275,364,276,381,88.86930904876203,152.029602380589,88.64414002389334,169.04733065032408,0.6035,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8942,0.053,3.2123,160.0875,0.0876,-4.0163
0,4,283,365,283,380,85.88777115528154,153.39491516996253,86.25383795039637,168.35973390332975,0.5518,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.1723,0.0465,2.8111,160.5293,0.2754,-4.0189
0,5,99,203,79,202,182.97802065194975,173.23394586512194,182.9660408899871,193.25889371514057,0.7911,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.0763,0.0546,3.3135,182.6993,-4.5785,0.2377
0,6,92,203,72,202,182.86240522611175,180.22485955050706,182.86240522611175,200.24984394500785,0.8765,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.853,0.0526,3.1894,189.7104,-4.7547,0.2377
1,2,258,388,256,404,94.54804240912542,176.555940143627,94.76364169072617,192.66551326067673,0.8157,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.8521,0.0436,2.6331,184.2593,-0.3757,-4.6085
1,3,275,364,276,381,88.86930904876203,152.029602380589,88.64414002389334,169.04733065032408,0.6059,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8942,0.053,3.2123,160.0875,0.0876,-4.0163
1,4,283,365,283,380,85.88777115528154,153.39491516996253,86.25383795039637,168.35973390332975,0.5591,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.1723,0.0465,2.8111,160.5293,0.2754,-4.0189
1,5,99,203,79,202,182.97802065194975,173.23394586512194,182.9660408899871,193.25889371514057,0.8017,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.0763,0.0546,3.3135,182.6993,-4.5785,0.2377
1,6,91,203,72,202,182.8466169158161,181.22361876973983,182.86240522611175,200.24984394500785,0.8242,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5465,0.0499,3.0191,190.2623,-4.7685,0.2378
2,2,258,388,256,404,94.54804240912542,176.555940143627,94.76364169072617,192.66551326067673,0.8247,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.8521,0.0436,2.6331,184.2593,-0.3757,-4.6085
2,3,275,364,276,381,88.86930904876203,152.029602380589,88.64414002389334,169.04733065032408,0.6013,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8942,0.053,3.2123,160.0875,0.0876,-4.0163
2,4,283,365,283,380,85.88777115528154,153.39491516996253,86.25383795039637,168.35973390332975,0.5591,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.1723,0.0465,2.8111,160.5293,0.2754,-4.0189
2,5,99,203,79,202,182.97802065194975,173.23394586512194,182.9660408899871,193.25889371514057,0.8119,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.0763,0.0546,3.3135,182.6993,-4.5785,0.2377
