Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
0,1,214,379,208,397,109.15238977940375,176.78518037437414,109.08285409130353,195.757503049053,0.8483,4,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.636,0.0509,3.9906,185.7882,-1.5268,-4.4051
0,2,208,378,201,396,111.08375458238065,177.9100896520487,111.10008374846645,197.2232237846243,0.8601,4,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6976,0.0515,4.0337,187.0695,-1.6894,-4.3798
0,3,407,348,422,363,45.21142258103931,191.62724232217087,45.19035072662975,212.84031572989173,0.837,4,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8043,0.0524,4.1083,201.6775,3.5661,-3.5911
0,4,400,348,414,362,46.73570458892839,186.76188047886004,46.56935480474898,206.55265672462312,0.6932,4,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5686,0.0503,3.9435,196.1594,3.3791,-3.5794
1,2,204,383,197,401,111.68577739407127,184.0244548966251,111.64443514071401,203.33715843396652,0.8206,1,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5176,0.0499,3.9078,193.1994,-1.7898,-4.5057
2,2,190,387,181,406,115.10644604586585,193.25889371514057,115.12996647948432,214.28252378577213,0.9179,1,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.709,0.0516,4.0417,203.2284,-2.1649,-4.6175
3,2,185,389,175,408,116.17528998175993,197.22575896672322,116.3307139172158,218.68927728629038,0.8317,1,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7111,0.0516,4.0432,207.4037,-2.3025,-4.6676
4,2,165,395,153,415,120.31480296287847,211.9858485842864,120.37912601136834,235.30830839560255,0.7601,2,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7704,0.0521,4.0846,223.039,-2.8279,-4.83
4,5,357,362,366,378,60.4612177404419,172.40939649566667,60.47863816541836,190.76687343456672,0.8194,2,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.594,0.0505,3.9612,181.1242,2.2402,-3.9547
5,2,165,396,154,416,120.17893192908163,212.8497122384712,120.0464352468105,235.6692597688549,0.8237,4,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6306,0.0509,3.9868,223.679,-2.8158,-4.8557
