Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
6,1,575,237,591,238,4.566645605398624,313.99681527047375,4.518542971466477,330.02575657060464,0.9473,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
7,2,350,134,357,130,318.4473868518652,117.5925167687128,319.2006222046354,125.49501982150527,0.5609,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
7,1,575,237,590,237,4.566645605398624,313.99681527047375,4.358629041051181,328.95136418625776,0.7603,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
7,3,147,285,109,307,147.59332995610313,136.2130683891968,148.1632324896995,180.09441968034434,0.7305,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
8,4,27,26,6,11,218.36123993257397,299.70151818100624,218.13745237607029,325.4796460610095,0.6627,6,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
8,5,122,97,24,32,219.4006606634794,181.1767093199344,217.10030838573476,298.40241285887754,0.3519,6,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
8,6,123,125,119,121,212.04241990590688,163.98170629676957,212.47119229084848,169.49926253526885,0.6334,6,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
8,2,350,134,357,130,318.4473868518652,117.5925167687128,319.2006222046354,125.49501982150527,0.5609,6,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
8,1,575,237,590,237,4.566645605398624,313.99681527047375,4.358629041051181,328.95136418625776,0.7899,6,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
8,3,146,284,110,307,148.17255342332692,136.5283853270081,147.9946167919165,179.24564150907548,0.7949,6,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
9,2,350,134,357,131,318.4473868518652,117.5925167687128,319.5480424091254,124.84390253432484,0.5055,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
9,1,575,238,590,238,4.748492093111729,314.0780157858872,4.532261708701458,329.02887411289606,0.7767,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
9,3,145,283,110,308,148.74904898341933,136.8575902169843,147.72435568542238,179.77764043395385,0.6157,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
10,7,289,65,291,59,280.40771131249005,149.4590244849738,280.7326645566558,155.72411502397438,0.6549,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
10,2,350,134,357,130,318.4473868518652,117.5925167687128,319.2006222046354,125.49501982150527,0.6217,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
10,1,576,237,590,237,4.552163369992411,314.9936507296615,4.358629041051181,328.95136418625776,0.7433,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
10,3,145,281,109,307,149.47029410006587,135.83077707206124,148.1632324896995,180.09441968034434,0.5403,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
11,1,576,237,591,237,4.552163369992411,314.9936507296615,4.345431749229081,329.94848082693153,0.7464,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
