Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
0,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8538,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
1,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8448,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
2,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8635,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
3,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8527,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
4,1,411,248,421,251,12.149091607441346,147.29901561110313,12.449996507806603,157.70859202973057,0.6508,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.742,0.0341,2.6804,152.3262,3.7369,-0.8045,3.8225
5,1,411,248,421,251,12.149091607441346,147.29901561110313,12.449996507806603,157.70859202973057,0.6365,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.742,0.0341,2.6804,152.3262,3.7369,-0.8045,3.8225
6,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.855,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
7,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8438,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
8,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8685,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
9,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8491,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
10,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8584,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
11,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8745,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
12,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8436,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
13,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.842,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
14,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8433,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
