Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
36,1,40,255,18,267,151.6309537067214,170.47287174210447,151.60001367939148,195.5326059765992,0.6846,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4885,0.0685,,,,
45,2,114,224,95,233,146.659292653523,90.97252332435328,148.15754274001483,111.83022847155415,0.3519,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.2359,0.1028,,,,
48,3,146,205,137,212,144.83356396420712,53.823786563191554,144.36019080191335,65.21502894272147,0.5903,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0804,0.0957,,,,
57,4,372,387,390,407,49.487432778475835,280.1660222082614,49.358227947732274,307.06513966909364,0.5184,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9958,0.0458,,,,
57,5,163,176,141,170,175.76360520094119,27.073972741361768,184.666858371439,49.16299421312742,0.2016,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.299,0.2897,,,,
58,5,162,176,140,169,175.91438322002512,28.071337695236398,185.71059313749964,50.24937810560445,0.1333,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.1561,0.2832,,,,
59,5,162,176,140,169,175.91438322002512,28.071337695236398,185.71059313749964,50.24937810560445,0.1362,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.1561,0.2832,,,,
63,6,138,166,115,159,188.7461622625552,52.61178575186362,191.3099324740202,76.48529270389177,0.4358,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0203,0.1849,,,,
64,6,134,163,110,158,191.1130405359483,57.0701322935211,191.3099324740202,81.58431221748455,0.6677,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8436,0.1768,,,,
67,7,100,148,75,141,196.11341823308928,93.68030742904295,196.01117747880846,119.64113005150027,0.6941,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6457,0.1217,,,,
68,7,96,146,70,139,196.58733855692742,98.08159868191383,196.26020470831193,125.0,0.6444,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6233,0.1207,,,,
69,7,91,142,64,135,197.91250938596326,104.04326023342406,197.19854122006586,131.89768762188365,0.5582,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.5666,0.1181,,,,
70,7,90,140,63,132,198.77803322244554,105.62196741208714,198.2994980598604,133.76471881628578,0.6063,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.5558,0.1176,,,,
71,7,90,137,63,129,200.30447370996043,106.6255128944288,199.51079944371327,134.73678042761748,0.5315,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.532,0.1165,,,,
72,7,97,141,64,126,199.53665493812838,98.68130522039117,200.85445803957833,134.8332303254654,0.5327,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.3657,0.1548,,,,
73,7,96,138,63,123,200.95577673063218,100.65783625729296,201.87915133757528,136.8575902169843,0.59,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.3134,0.1524,,,,
74,7,95,135,62,119,202.31944039297508,102.69371937952194,203.2525921748616,139.31618714277246,0.5589,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.2898,0.1513,,,,
75,7,93,132,60,115,203.41211416930267,105.70241246064349,204.41073983949204,142.76203977248295,0.5504,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.2426,0.1492,,,,
76,7,93,128,58,111,205.37156175309596,107.35455276791944,205.51387042753424,146.26346091898688,0.7183,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.3353,0.1534,,,,
77,7,96,120,76,109,209.87599269168942,108.40664186294121,209.6907265120168,131.2288078129189,0.6724,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0705,0.0952,,,,
79,7,88,106,77,99,213.69006752597977,122.58874336577564,213.57289840605486,135.6244815658294,0.6706,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0975,0.0505,,,,
81,7,93,95,69,79,219.16050768848254,125.09996003196804,218.13630808537295,153.83757668398187,0.4083,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.2398,0.103,,,,
89,8,137,186,130,187,167.24246783912335,54.3415126767741,167.77487732426425,61.39218191268331,0.7712,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.3244,0.0609,,,,
93,9,139,163,126,158,192.17145820858747,52.172789842982326,194.03624346792648,65.96969000988257,0.5795,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.5388,0.1168,,,,
94,9,141,157,128,151,199.13364320590549,51.86520991955976,200.3532291480688,66.12866246946176,0.6871,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.628,0.1209,,,,
95,9,144,153,131,146,204.5377284765778,50.566787519082126,205.38790629109593,65.30696746902278,0.7307,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.7655,0.1272,,,,
96,9,148,148,135,141,211.7594800848128,49.39635614091387,210.96375653207352,64.1404708432983,0.7143,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8232,0.1299,,,,
97,9,152,142,139,134,220.10090754621223,49.678969393496885,218.10757687751487,64.81512169239521,0.6139,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.874,0.1322,,,,
98,9,156,138,144,129,226.63657704161673,49.51767361255979,224.37040139158972,64.35060217278468,0.5651,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8319,0.1303,,,,
112,10,409,161,427,159,356.60286708066025,219.3855054464629,356.37851529588266,237.47420912595962,0.4371,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8608,0.0396,,,,
154,11,531,424,559,446,36.246552832269415,422.82502291136933,36.39494351171544,458.4157501657202,0.515,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.878,0.0404,,,,
157,11,545,427,574,449,35.4765623170057,435.92889328421444,35.608186960802605,472.31451385702724,0.5605,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8709,0.0401,,,,
160,11,550,427,580,449,35.09869626131825,440.01022715386966,35.18874313200395,477.20540650751224,0.652,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8816,0.0406,,,,
194,12,468,76,476,73,340.5815292579389,294.76770515102226,340.54948679236617,303.3100723681955,0.6005,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.3105,0.0143,,,,
195,12,458,68,480,60,338.42009371238,288.2013185257833,338.5400392695143,311.60231064611827,0.5194,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8482,0.039,,,,
197,12,444,70,465,62,337.7334117266876,274.46675572826666,337.8402726114694,296.9326522967792,0.5482,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8548,0.0393,,,,
200,13,622,291,638,295,15.154068050312599,447.56340332962884,15.114343115298693,464.05279872014563,0.799,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.3932,0.0181,,,,
200,14,482,224,490,225,9.716685817785104,296.24989451474914,9.648045316098155,304.30412419157255,0.3977,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.2916,0.0134,,,,
203,13,615,289,634,294,15.140983835076906,440.2839992550263,15.124007308310569,459.9304295216832,0.64,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.4745,0.0218,,,,
