Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
0,1,378.0000,405.0000,390,425,59.44131292928861,218.3231549790356,59.40221579066578,241.6464359348178,0.8201,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0689,0.0507,1.0689,,378.0000,405.0000
0,2,195.3333,345.0000,187,358,119.0165843438658,146.37281168304446,119.56953133326778,162.1141573089778,0.5418,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1156,0.051,1.1156,,195.3333,345.0000
1,1,378.0000,405.0000,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.7919,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0619,0.0479,1.0619,,378.0000,405.0000
1,2,195.2500,345.0000,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7014,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1050,0.0494,1.1050,,195.2500,345.0000
1,3,156.0000,199.0000,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.563,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,2.0575,,156.0000,199.0000
2,1,378.0000,405.2000,390,424,59.44131292928861,218.3231549790356,59.281095735970815,240.7862122298534,0.7169,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0537,0.0489,1.0537,,378.0000,405.2000
2,2,195.2000,345.0000,186,359,119.35775354279127,146.86047800548656,119.70140954541058,163.47782724271815,0.6382,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1103,0.0535,1.1103,,195.2000,345.0000
2,3,156.0000,199.0000,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5611,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,2.0575,,156.0000,199.0000
3,1,378.0000,405.4000,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.7973,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0374,0.0479,1.0374,,378.0000,405.4000
3,2,195.0000,345.0000,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7152,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1031,0.0494,1.1031,,195.0000,345.0000
4,1,378.0000,405.4000,390,424,59.57421619803874,219.18485349129398,59.281095735970815,240.7862122298534,0.5578,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0498,0.047,1.0498,,378.0000,405.4000
4,2,195.0000,345.0000,187,359,119.35775354279127,146.86047800548656,119.39605285494326,162.9846618550347,0.7587,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1031,0.052,1.1031,,195.0000,345.0000
5,1,378.0000,405.4000,390,424,59.57421619803874,219.18485349129398,59.281095735970815,240.7862122298534,0.5976,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0498,0.047,1.0498,,378.0000,405.4000
5,2,195.0000,345.0000,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.6971,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0965,0.0494,1.0965,,195.0000,345.0000
5,3,156.0000,199.0000,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.56,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,2.0575,,156.0000,199.0000
6,1,378.0000,405.4000,390,425,59.44131292928861,218.3231549790356,59.40221579066578,241.6464359348178,0.8217,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0498,0.0507,1.0498,,378.0000,405.4000
6,2,195.0000,345.0000,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7032,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1081,0.0494,1.1081,,195.0000,345.0000
6,3,156.0000,199.0000,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5326,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,2.0575,,156.0000,199.0000
7,1,378.0000,405.2000,390,424,59.44131292928861,218.3231549790356,59.281095735970815,240.7862122298534,0.7156,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0537,0.0489,1.0537,,378.0000,405.2000
7,2,195.0000,345.0000,187,359,119.35775354279127,146.86047800548656,119.39605285494326,162.9846618550347,0.7975,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1081,0.052,1.1081,,195.0000,345.0000
8,1,378.0000,405.0000,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.8089,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0654,0.0479,1.0654,,378.0000,405.0000
8,2,195.0000,345.0000,187,359,119.35775354279127,146.86047800548656,119.39605285494326,162.9846618550347,0.8177,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1147,0.052,1.1147,,195.0000,345.0000
9,1,378.0000,405.0000,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.7955,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0531,0.0479,1.0531,,378.0000,405.0000
9,2,195.0000,345.0000,187,359,119.35775354279127,146.86047800548656,119.39605285494326,162.9846618550347,0.8011,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1147,0.052,1.1147,,195.0000,345.0000
10,1,378.0000,405.0000,389,425,59.44131292928861,218.3231549790356,59.606737354447,241.1389640850271,0.7201,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0485,0.0497,1.0485,,378.0000,405.0000
