Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
0,1,378,405,390,425,59.44131292928861,218.3231549790356,59.40221579066578,241.6464359348178,0.8201,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1024,0.0507,,,,
0,2,196,345,187,358,119.0165843438658,146.37281168304446,119.56953133326778,162.1141573089778,0.5418,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1093,0.051,,,,
1,1,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.7919,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0407,0.0479,,,,
1,2,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7014,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0733,0.0494,,,,
1,3,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.563,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,,,,
2,1,378,405,390,424,59.44131292928861,218.3231549790356,59.281095735970815,240.7862122298534,0.7169,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0637,0.0489,,,,
2,2,195,345,186,359,119.35775354279127,146.86047800548656,119.70140954541058,163.47782724271815,0.6382,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1641,0.0535,,,,
2,3,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5611,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,,,,
3,1,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.7973,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0407,0.0479,,,,
3,2,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7152,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0733,0.0494,,,,
