Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,Radius_A_px,Angle_B_deg,Radius_B_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
0,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
1,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
2,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
3,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
4,1,411,248,421,251,14.520149018537024,143.58621103713267,14.667824903700057,154.0194792875239,0.6277,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
5,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
6,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
7,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
8,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
9,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
10,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
11,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
12,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
13,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
14,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
15,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
16,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
17,1,411,248,422,250,14.520149018537024,143.58621103713267,14.215853473673555,154.7384890710776,0.6575,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
18,1,411,248,421,251,14.520149018537024,143.58621103713267,14.667824903700057,154.0194792875239,0.6041,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
19,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
20,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
21,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
22,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
23,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.6254,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
24,1,411,248,422,250,14.520149018537024,143.58621103713267,14.215853473673555,154.7384890710776,0.6178,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
25,1,411,247,422,250,14.133190548862926,143.33875958721003,14.215853473673555,154.7384890710776,0.574,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
26,1,417,239,428,242,10.548065418142127,147.49237268414933,10.885527054658738,158.8584275384847,0.5632,1,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
27,2,125,456,113,475,121.06724066911896,284.8596145472362,121.15559436268403,307.3271872125862,0.5719,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
27,1,427,230,439,232,6.624032634517511,156.0416611036937,6.829244303198068,168.19334112859522,0.6637,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
