Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
0,1,411,248,422,250,14.520149018537024,143.58621103713267,14.215853473673555,154.7384890710776,0.7464,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.936,148.9539,3.621,0.9272
1,1,410,248,422,250,14.620873988631656,142.61837188805654,14.215853473673555,154.7384890710776,0.6578,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.1956,148.4314,3.6076,0.9269
2,1,410,248,421,251,14.620873988631656,142.61837188805654,14.667824903700057,154.0194792875239,0.889,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0168,148.0998,3.5957,0.9396
3,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,0.9274
4,1,410,248,421,251,14.620873988631656,142.61837188805654,14.667824903700057,154.0194792875239,0.8643,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0168,148.0998,3.5957,0.9396
5,1,411,248,422,251,14.520149018537024,143.58621103713267,14.574216198038739,154.98709623707387,0.9613,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9976,149.069,3.6208,0.9397
6,1,411,248,422,250,14.520149018537024,143.58621103713267,14.215853473673555,154.7384890710776,0.7464,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.936,148.9539,3.621,0.9272
7,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,0.9274
8,1,411,248,421,251,14.520149018537024,143.58621103713267,14.667824903700057,154.0194792875239,0.8468,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.7571,148.62,3.6091,0.9399
9,1,411,248,422,251,14.520149018537024,143.58621103713267,14.574216198038739,154.98709623707387,0.9613,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9976,149.069,3.6208,0.9397
10,1,410,248,421,251,14.620873988631656,142.61837188805654,14.667824903700057,154.0194792875239,0.889,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0168,148.0998,3.5957,0.9396
11,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,0.9274
12,1,410,248,421,250,14.620873988631656,142.61837188805654,14.307357120410286,153.7693077307692,0.6718,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9544,147.9841,3.5959,0.9272
13,1,410,248,421,250,14.620873988631656,142.61837188805654,14.307357120410286,153.7693077307692,0.6718,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9544,147.9841,3.5959,0.9272
14,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,0.9274
15,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,0.9274
16,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,0.9274
17,1,411,248,422,250,14.520149018537024,143.58621103713267,14.215853473673555,154.7384890710776,0.7464,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.936,148.9539,3.621,0.9272
18,1,410,248,422,251,14.620873988631656,142.61837188805654,14.574216198038739,154.98709623707387,0.8745,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.2573,148.5457,3.6073,0.9394
19,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,0.9274
20,1,410,248,421,251,14.620873988631656,142.61837188805654,14.667824903700057,154.0194792875239,0.889,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0168,148.0998,3.5957,0.9396
21,1,411,248,422,250,14.520149018537024,143.58621103713267,14.215853473673555,154.7384890710776,0.7464,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.936,148.9539,3.621,0.9272
22,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,0.9274
23,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,0.9274
24,1,411,248,422,250,14.520149018537024,143.58621103713267,14.215853473673555,154.7384890710776,0.7067,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.936,148.9539,3.621,0.9272
25,1,411,247,422,250,14.133190548862926,143.33875958721003,14.215853473673555,154.7384890710776,0.8415,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0022,148.8206,3.6208,0.9146
26,1,417,239,429,242,10.548065418142127,147.49237268414933,10.817833584841011,159.84054554461454,0.7498,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.151,153.4184,3.7831,0.714
27,2,125,456,113,475,121.06724066911896,284.8596145472362,121.15559436268403,307.3271872125862,0.8268,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9788,295.6672,-3.8339,6.3522
27,1,427,230,439,232,6.624032634517511,156.0416611036937,6.829244303198068,168.19334112859522,0.7449,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9433,161.8898,4.0345,0.4761
28,2,134,447,124,465,120.42290620769353,272.5233934912744,120.32679049201346,293.1091946698363,0.779,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8599,282.4417,-3.5837,6.1149
28,1,436,221,449,222,3.141129835636104,164.24676556937126,3.2336121248878653,177.28226081590904,0.8634,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9963,170.5157,4.2723,0.238
29,2,146,436,136,454,119.35775354279127,257.00583650960147,119.33526697427818,277.5968299530814,0.872,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0231,266.9048,-3.2825,5.8383
29,1,448,209,462,209,359.02346196423844,176.02556632489498,359.0954049662673,190.02368273454758,0.854,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0019,182.757,4.5855,-0.0752
30,2,152,431,142,448,118.72032679786948,249.7218452598811,118.84805928536906,269.43644890771554,0.7734,1,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9814,259.2048,-3.1322,5.7007
31,2,155,428,145,445,118.44292862436335,245.65219315121126,118.59322785309737,265.36390108679063,0.7513,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0275,255.1279,-3.0569,5.6252
31,1,457,201,471,200,356.59723022893826,185.32673849177834,356.54915680624885,199.36148073286373,0.8516,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8668,192.0881,4.8117,-0.2882
32,2,156,427,147,443,118.34840957773493,244.29695045169925,118.41895215226042,262.65186083483206,0.8415,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8455,253.1421,-3.0199,5.5886
32,1,459,199,474,198,356.02326902492246,187.45132701584163,356.0353452771439,202.48456731316588,0.9571,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0259,194.6782,4.8735,-0.3383
33,2,160,422,150,439,118.07248693585296,238.0,118.25558170479155,257.7071981920567,0.7248,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.1184,247.4619,-2.9314,5.4744
33,1,462,195,477,194,354.8871502201175,190.7590102721232,354.9820203613654,205.7887266105702,0.8324,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9758,197.989,4.949,-0.4385
34,2,166,416,157,433,117.45674228459988,229.89562849258357,117.49075520974235,249.13048789740688,0.9051,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.1491,239.1269,-2.7684,5.3239
34,3,23,348,3,358,151.35730642491058,283.7199323276389,151.5090619953726,306.0669861321211,0.789,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.975,294.4701,-6.49,3.5332
34,1,468,189,483,188,353.3071246421659,197.3448757885545,353.51083360407245,212.3605424743495,0.7013,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8796,204.5775,5.0998,-0.5889
35,2,170,411,162,427,117.13798987476147,223.61797781037194,117.09555249375181,241.50569351466643,0.9538,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0186,232.2179,-2.656,5.1868
35,3,28,343,9,353,151.7693050691079,276.94223224347706,151.80327640203575,298.41246622753545,0.9532,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9308,287.2768,-6.3525,3.408
35,1,473,185,489,182,352.3493490446406,202.80532537386685,352.128818063169,219.06391761310215,0.7106,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0249,210.6213,5.2369,-0.7141
36,2,173,409,165,424,116.68126963739054,220.47675614449702,116.78085346926588,237.4721036248258,0.8195,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9151,228.6591,-2.5811,5.1247
36,3,31,340,12,350,152.02632008758357,272.88275870783775,152.04201287078368,294.3535289409658,0.8623,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.972,283.2118,-6.2771,3.3327
36,1,476,181,492,179,351.35939358617605,206.34194920083507,351.46923439005184,222.46123257772354,0.7597,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.952,214.0986,5.3124,-0.8019
37,2,177,404,169,419,116.3258217551244,214.21717951648975,116.45422775723222,231.2098613813866,0.7389,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9949,222.3894,-2.4807,4.999
