Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
0,1,207,446,201,465,106.32462332180303,249.04015740438328,106.413583882566,268.96096371034963,0.8925,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0186,258.6175,-1.8292,-6.2267
0,2,332,175,338,170,329.8083770390424,63.631753079732135,328.7607851117912,71.34423592694787,0.4591,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.4555,67.2677,1.4508,0.863
1,1,207,446,201,465,106.32462332180303,249.04015740438328,106.413583882566,268.96096371034963,0.8925,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0186,258.6175,-1.8292,-6.2267
1,2,332,175,338,170,329.8083770390424,63.631753079732135,328.7607851117912,71.34423592694787,0.4591,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.4555,67.2677,1.4508,0.863
1,3,70,29,53,15,220.6923486478316,273.00732590903124,220.60129464500446,295.0254226333724,0.8806,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.042,283.5896,-5.3997,4.6354
2,1,207,446,201,465,106.32462332180303,249.04015740438328,106.413583882566,268.96096371034963,0.8925,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0186,258.6175,-1.8292,-6.2267
2,2,332,175,338,170,329.8083770390424,63.631753079732135,328.7607851117912,71.34423592694787,0.4591,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.4555,67.2677,1.4508,0.863
2,3,70,29,53,15,220.6923486478316,273.00732590903124,220.60129464500446,295.0254226333724,0.7639,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.042,283.5896,-5.3997,4.6354
3,1,207,446,201,465,106.32462332180303,249.04015740438328,106.413583882566,268.96096371034963,0.8925,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0186,258.6175,-1.8292,-6.2267
3,3,70,29,53,15,220.6923486478316,273.00732590903124,220.60129464500446,295.0254226333724,0.8806,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.042,283.5896,-5.3997,4.6354
