Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
0,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
0,2,370,391,389,424,61.29991071686427,204.07106605298068,61.106274120967576,242.1425200166216,0.5643,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.623,221.4826,2.678,-4.8702
0,3,196,345,187,358,119.74488129694222,153.18289721767243,120.20761248040662,168.94081803992782,0.6149,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8232,160.6764,-2.0153,-3.4923
1,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
1,2,370,391,389,424,61.29991071686427,204.07106605298068,61.106274120967576,242.1425200166216,0.5651,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.623,221.4826,2.678,-4.8702
1,3,195,345,187,358,120.06858282186246,153.68148880070103,120.20761248040662,168.94081803992782,0.7626,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6985,160.9503,-2.0281,-3.4928
2,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
2,2,370,391,389,424,61.29991071686427,204.07106605298068,61.106274120967576,242.1425200166216,0.5643,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.623,221.4826,2.678,-4.8702
2,3,195,345,186,359,120.06858282186246,153.68148880070103,120.32908604198373,170.30854353202602,0.669,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0079,161.5684,-2.0398,-3.5039
3,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
3,2,370,391,389,424,61.29991071686427,204.07106605298068,61.106274120967576,242.1425200166216,0.5643,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.623,221.4826,2.678,-4.8702
3,3,195,345,187,358,120.06858282186246,153.68148880070103,120.20761248040662,168.94081803992782,0.7876,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6985,160.9503,-2.0281,-3.4928
4,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
4,2,370,392,390,424,61.43416320625343,204.94877408757534,60.899522588456556,242.62728618191318,0.3994,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.5355,222.2021,2.691,-4.8836
4,3,195,345,187,359,120.06858282186246,153.68148880070103,120.03784474567345,169.80577139779436,0.8149,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8945,161.3418,-2.0276,-3.5044
5,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
